motif	expression
mm9.SP5_MOUSE.H11MO.0.C	0.48
mm9.LHX6_MOUSE.H11MO.0.C	0.505
mm9.HLF_MOUSE.H11MO.0.C	0.505
mm9.ISL1_MOUSE.H11MO.0.A	0.55
mm9.NR4A2_MOUSE.H11MO.0.C	0.565
mm9.KLF1_MOUSE.H11MO.0.A	0.585
mm9.IRF8_MOUSE.H11MO.0.A	0.585
mm9.NR1H3_MOUSE.H11MO.0.A	0.61
mm9.SNAI2_MOUSE.H11MO.0.A	0.615
mm9.CDX1_MOUSE.H11MO.0.C	0.64
mm9.NKX31_MOUSE.H11MO.0.C	0.645
mm9.FOS_MOUSE.H11MO.0.A	0.675
mm9.ANDR_MOUSE.H11MO.0.A	0.725
mm9.RUNX3_MOUSE.H11MO.0.A	0.725
mm9.HNF6_MOUSE.H11MO.0.A	0.745
mm9.BACH2_MOUSE.H11MO.0.A	0.75
mm9.FOXA2_MOUSE.H11MO.0.A	0.775
mm9.REL_MOUSE.H11MO.0.A	0.805
mm9.ASCL2_MOUSE.H11MO.0.C	0.86
mm9.TAL1_MOUSE.H11MO.0.A	0.9
mm9.OVOL1_MOUSE.H11MO.0.C	0.905
mm9.DMRTB_MOUSE.H11MO.0.C	0.93
mm9.AP2A_MOUSE.H11MO.0.A	1.005
mm9.NFAC2_MOUSE.H11MO.0.C	1.005
mm9.STA5A_MOUSE.H11MO.0.A	1.03
mm9.EGR1_MOUSE.H11MO.0.A	1.13
mm9.FOXA3_MOUSE.H11MO.0.A	1.145
mm9.PRRX2_MOUSE.H11MO.0.C	1.15
mm9.GATA1_MOUSE.H11MO.0.A	1.17
mm9.ETV2_MOUSE.H11MO.0.A	1.225
mm9.PRDM9_MOUSE.H11MO.0.C	1.275
mm9.PRD16_MOUSE.H11MO.0.B	1.43
mm9.RORA_MOUSE.H11MO.0.C	1.45
mm9.BHA15_MOUSE.H11MO.0.A	1.485
mm9.MEIS2_MOUSE.H11MO.0.B	1.575
mm9.BATF3_MOUSE.H11MO.0.A	1.68
mm9.COE1_MOUSE.H11MO.0.A	1.68
mm9.BCL6_MOUSE.H11MO.0.A	1.685
mm9.FOXJ2_MOUSE.H11MO.0.C	1.755
mm9.CEBPD_MOUSE.H11MO.0.B	1.95
mm9.JUN_MOUSE.H11MO.0.A	2.065
mm9.PO2F2_MOUSE.H11MO.0.B	2.07
mm9.CTCFL_MOUSE.H11MO.0.A	2.075
mm9.HXA1_MOUSE.H11MO.0.C	2.11
mm9.TWST1_MOUSE.H11MO.0.B	2.165
mm9.SNAI1_MOUSE.H11MO.0.C	2.22
mm9.CUX2_MOUSE.H11MO.0.C	2.295
mm9.NFAC4_MOUSE.H11MO.0.C	2.4125
mm9.INSM1_MOUSE.H11MO.0.C	2.66
mm9.RFX3_MOUSE.H11MO.0.C	2.855
mm9.NFIB_MOUSE.H11MO.0.C	2.955
mm9.TF7L2_MOUSE.H11MO.0.A	3.125
mm9.STA5B_MOUSE.H11MO.0.A	3.16
mm9.P73_MOUSE.H11MO.0.B	3.175
mm9.NFIL3_MOUSE.H11MO.0.C	3.22
mm9.HNF1A_MOUSE.H11MO.0.A	3.33
mm9.AHR_MOUSE.H11MO.0.B	3.35
mm9.OVOL2_MOUSE.H11MO.0.C	3.355
mm9.NFIC_MOUSE.H11MO.0.A	3.465
mm9.NKX28_MOUSE.H11MO.0.C	3.595
mm9.RXRA_MOUSE.H11MO.0.A	3.905
mm9.MITF_MOUSE.H11MO.0.A	3.975
mm9.ATF3_MOUSE.H11MO.0.A	4.11
mm9.NR1D1_MOUSE.H11MO.0.A	4.66
mm9.NR2C1_MOUSE.H11MO.0.C	4.86
mm9.DBP_MOUSE.H11MO.0.B	4.965
mm9.IRF9_MOUSE.H11MO.0.C	5.125
mm9.MECP2_MOUSE.H11MO.0.C	5.195
mm9.GCR_MOUSE.H11MO.0.A	5.295
mm9.PRDM1_MOUSE.H11MO.0.A	5.45
mm9.MAFK_MOUSE.H11MO.0.A	5.715
mm9.MAFF_MOUSE.H11MO.0.A	5.815
mm9.MYBA_MOUSE.H11MO.0.C	5.85
mm9.STAT1_MOUSE.H11MO.0.A	5.875
mm9.ELF1_MOUSE.H11MO.0.A	5.955
mm9.THA_MOUSE.H11MO.0.C	6.015
